rank_saa,playerID,name,role,team,IP,qualifying_IP,qualifying_seasons,W,L,SV,SO,G,GS,career_ERA,career_WHIP,ERA_plus,real_WAR,SAA_total,SAA_rate,z_era,z_whip,z_k9,z_wpct,z_sv,yr_min,yr_max,hof
56,roberro01,Robin Roberts,SP,PHI,4688.666666666667,4688.666666666667,19.0,286,245,25,2357,676,609,3.405232475472771,1.169628892364567,117.85615807217908,83.02,8.411688817849265,0.3588094192172301,0.39388458878396804,0.9855835791215627,-0.08910204776542059,0.24194740526064223,-0.16626694258196908,1948,1966,True
57,shockur01,Urban Shocker,SP,SLA,2681.6666666666665,2679.6666666666665,12.0,187,117,25,983,412,317,3.1715351149782474,1.2551895587321318,125.35498639022295,55.1,8.38327920999328,0.6256956743371027,0.5490741873499234,0.6926670283511477,0.46147363286645254,0.7468239924605079,0.7360084534644266,1916,1928,False
58,warnelo01,Lon Warneke,SP,CHN,2782.3333333333335,2767.0,13.0,192,121,13,1140,445,343,3.182939978435366,1.2453576135138373,124.5918501626058,42.089999999999996,8.370431786980747,0.6050185606780447,0.7947633960472119,0.9064266356678287,0.2347944692915527,0.7418193327477589,-0.15601707658578004,1930,1945,False
59,fingero01,Rollie Fingers,RP,OAK,1701.3333333333333,1700.0,16.0,114,118,341,1299,944,37,2.9041927899686524,1.155564263322884,132.59229718157926,24.99,8.270503950644713,0.9730004647817311,0.783262921170084,0.9341645149529484,1.1609707546063825,-0.06153354490366071,3.142732697082049,1968,1985,True
60,guidrro01,Ron Guidry,SP,NYA,2392.0,2360.3333333333335,12.0,170,91,4,1778,368,323,3.2884615384615383,1.1835284280936456,127.07440538270457,47.85,8.26969021625191,0.7007222327003453,0.5374178111998443,0.8627061541774508,0.9888381981231885,0.9827102530373376,-0.43618448876083854,1975,1988,False
61,mcginjo01,Joe McGinnity,SP,NY1,3441.3333333333335,3441.3333333333335,10.0,246,142,24,1068,465,381,2.657109647423479,1.1879116621464547,125.08437681172725,62.36,8.268766462790666,0.48055597420325447,0.3699836715305002,0.41014270190472946,-0.49391892229356543,0.9307213436500261,1.9816389657315483,1899,1908,True
62,mullato01,Tony Mullane,SP,CN2,4531.333333333333,4531.333333333333,13.0,284,220,15,1803,555,504,3.0527438575842285,1.236501397675445,122.86517608903672,61.0,8.159192877262901,0.3601232695569914,0.3675479249621676,0.3461171714688227,0.011092191080113742,0.3511062749428991,1.0926730224464116,1881,1894,False
63,bridgto01,Tommy Bridges,SP,DET,2826.3333333333335,2756.333333333333,13.0,194,138,10,1674,424,362,3.572826984314188,1.3682037976176435,128.06318424342078,51.62,8.14131999321956,0.590735517708518,0.4224412611656886,0.24949618957161745,1.7502101377807897,0.5637692729979688,-0.40044727131560326,1930,1946,False
64,piercbi02,Billy Pierce,SP,CHA,3306.6666666666665,3296.6666666666665,17.0,211,169,32,1999,585,432,3.268850806451613,1.2601814516129033,124.50177984672715,53.32,8.05185667011457,0.4884847322617535,0.600115849368454,0.5940935961227966,0.7204147791075484,0.3281946278607427,-0.19084645964340047,1945,1964,False
65,ruffire01,Red Ruffing,SP,NYA,4344.0,4321.0,21.0,273,225,16,1987,624,536,3.7976519337016574,1.3409300184162063,113.61246854430107,55.34,7.906451843573209,0.3659547254604587,0.2538183013373006,0.4587423898163568,0.7656322152247541,0.33534870976239856,-0.32381632325386256,1924,1947,True
66,goodedw01,Dwight Gooden,SP,NYN,2800.6666666666665,2800.6666666666665,16.0,194,112,3,2293,430,410,3.5059509640561775,1.2561294929778626,120.88328546772715,48.15,7.84506167803171,0.5602281607735096,0.4681607058633464,0.5126208585533797,0.9260369655535533,0.8568101194428986,-0.4153664732996252,1984,2000,False
67,brownke01,Kevin Brown,SP,TEX,3256.3333333333335,3228.0000000000005,17.0,211,144,0,2397,486,476,3.275156106049749,1.2222335960691983,135.7985733887828,68.21,7.818555008535948,0.48442100424634116,0.7265329712585794,0.7413043325011819,0.20115052471609507,0.5784095712388115,-0.38450340884580536,1986,2005,False
