saa_rank,name,SAA_final,bWAR,bwar_rank,bWAA,bwaa_rank,JAWS,jaws_rank,WAR7,d_war,d_waa,d_jaws,z_AVG_career,z_ISO_career,z_BB_career,z_SB_career,z_DEF_career,qualifying_seasons,is_hof,is_nel_ranked
888.0,Terry Puhl,0.1630875825802622,28.319999999999997,597.0,10.050000000000002,494.0,26.0,606.0,23.68,-291.0,-394.0,-282.0,0.4090809434493078,-0.5559906495592375,0.141062652154432,0.6228878128465584,-0.5604737010183777,11.0,False,False
889.0,Matt Lawton,0.1630550912396539,15.14,927.0,-3.8200000000000003,903.0,14.41,951.0,13.68,38.0,14.0,62.0,-0.346362463484347,-0.3788450171105403,0.8049837113273423,0.5441651432112669,-0.0347808089322641,10.0,False,False
890.0,Dave Martinez,0.1615697842870463,19.130000000000003,841.0,-2.4415999999999998,865.0,18.415,836.0,17.7,-49.0,-25.0,-54.0,0.1551025895541255,-0.7488927471128288,-0.1526430594872651,0.0952746748156701,0.0454588311908409,15.0,False,False
891.0,Raul Ibanez,0.1586066953123467,20.9,784.0,-7.38,980.0,20.479999999999997,774.0,20.06,-107.0,89.0,-117.0,0.1233668992349568,0.4772481165991132,-0.0684248312882137,-0.7094576803771909,-1.2138902776947649,15.0,False,False
892.0,Melky Cabrera,0.15760709532407,21.14,777.0,-4.2299999999999995,908.0,21.265,745.0,21.390000000000004,-115.0,16.0,-147.0,0.6083680788512961,-0.5787569957349527,-0.5999814608857987,-0.3665462425613496,-0.6546536693649428,14.0,False,False
893.0,Dmitri Young,0.1554774103696727,12.23,982.0,-4.699999999999999,923.0,12.184999999999999,987.0,12.139999999999999,89.0,30.0,94.0,0.5595283089170738,0.1318879862418859,-0.5949065461767635,-0.6884591101759334,-0.7904017805218865,10.0,False,False
894.0,Jack Tobin,0.1532491137041242,21.009999999999998,779.0,-1.3499999999999999,835.0,20.72,766.0,20.43,-115.0,-59.0,-128.0,0.4569474792583734,-0.0535220626972051,-0.301576078186161,-0.3494295445591102,-0.9436179863690772,12.0,False,False
895.0,Ruben Sierra,0.1426868608903092,16.759999999999998,884.0,-12.91,1035.0,18.65,829.0,20.539999999999996,-11.0,140.0,-66.0,-0.014721106431234,0.4988032875112399,-0.6376925686650649,-0.3316121067978205,-1.2060816379716857,15.0,False,False
896.0,Les Mann,0.1387497097658555,14.580000000000002,940.0,-1.4700000000000002,840.0,13.65,965.0,12.719999999999999,44.0,-56.0,69.0,-0.1092297773527303,0.2693992712153497,-0.7302918597537397,-0.3003457006211824,-0.3199110961180116,10.0,False,False
897.0,Don Blasingame,0.1187399886213172,18.36,850.0,-2.7500000000000004,874.0,18.05,845.0,17.740000000000002,-47.0,-23.0,-52.0,-0.269052421982115,-0.9882759423046308,0.1731872306798843,0.6351657499270291,0.6461150523053005,11.0,False,False
